file_name,real_age,file_name_face
000000.jpg,4,000000.jpg_face.jpg
000001.jpg,18,000001.jpg_face.jpg
000002.jpg,80,000002.jpg_face.jpg
000003.jpg,50,000003.jpg_face.jpg
000004.jpg,17,000004.jpg_face.jpg
000005.jpg,27,000005.jpg_face.jpg
000006.jpg,24,000006.jpg_face.jpg
000007.jpg,43,000007.jpg_face.jpg
000008.jpg,26,000008.jpg_face.jpg
000009.jpg,39,000009.jpg_face.jpg
000010.jpg,17,000010.jpg_face.jpg
000011.jpg,51,000011.jpg_face.jpg
000012.jpg,2,000012.jpg_face.jpg
000013.jpg,1,000013.jpg_face.jpg
000014.jpg,6,000014.jpg_face.jpg
000015.jpg,18,000015.jpg_face.jpg
000016.jpg,24,000016.jpg_face.jpg
000017.jpg,5,000017.jpg_face.jpg
000018.jpg,40,000018.jpg_face.jpg
000019.jpg,16,000019.jpg_face.jpg
000020.jpg,29,000020.jpg_face.jpg
000021.jpg,1,000021.jpg_face.jpg
000022.jpg,35,000022.jpg_face.jpg
000023.jpg,25,000023.jpg_face.jpg
000024.jpg,5,000024.jpg_face.jpg
000025.jpg,30,000025.jpg_face.jpg
000026.jpg,24,000026.jpg_face.jpg
000027.jpg,35,000027.jpg_face.jpg
000028.jpg,65,000028.jpg_face.jpg
000029.jpg,13,000029.jpg_face.jpg
000030.jpg,1,000030.jpg_face.jpg
000031.jpg,28,000031.jpg_face.jpg
000032.jpg,27,000032.jpg_face.jpg
000033.jpg,16,000033.jpg_face.jpg
000034.jpg,4,000034.jpg_face.jpg
000035.jpg,16,000035.jpg_face.jpg
000036.jpg,2,000036.jpg_face.jpg
000037.jpg,31,000037.jpg_face.jpg
000038.jpg,10,000038.jpg_face.jpg
000039.jpg,4,000039.jpg_face.jpg
000040.jpg,1,000040.jpg_face.jpg
000041.jpg,34,000041.jpg_face.jpg
000042.jpg,15,000042.jpg_face.jpg
000043.jpg,30,000043.jpg_face.jpg
000044.jpg,8,000044.jpg_face.jpg
000045.jpg,20,000045.jpg_face.jpg
000046.jpg,16,000046.jpg_face.jpg
000047.jpg,19,000047.jpg_face.jpg
000048.jpg,40,000048.jpg_face.jpg
000049.jpg,10,000049.jpg_face.jpg
000050.jpg,42,000050.jpg_face.jpg
000051.jpg,23,000051.jpg_face.jpg
000052.jpg,25,000052.jpg_face.jpg
000053.jpg,1,000053.jpg_face.jpg
000054.jpg,58,000054.jpg_face.jpg
000055.jpg,23,000055.jpg_face.jpg
000056.jpg,44,000056.jpg_face.jpg
000057.jpg,7,000057.jpg_face.jpg
000058.jpg,21,000058.jpg_face.jpg
000059.jpg,14,000059.jpg_face.jpg
000060.jpg,28,000060.jpg_face.jpg
000061.jpg,24,000061.jpg_face.jpg
000062.jpg,10,000062.jpg_face.jpg
000063.jpg,40,000063.jpg_face.jpg
000064.jpg,26,000064.jpg_face.jpg
000065.jpg,34,000065.jpg_face.jpg
000066.jpg,48,000066.jpg_face.jpg
000067.jpg,39,000067.jpg_face.jpg
000068.jpg,5,000068.jpg_face.jpg
